SR.No,question,answer,topic
1, What undergraduate programs do you offer?,"We offer undergraduate B.Tech programs in engineering at Arya College of Engineering (Jaipur, Kukas). For the exact list of branches, intake, eligibility, and duration, please check the Admissions page or contact our Admissions Office. If you’d like, I can connect you with a staff member for precise details.",UNDERGRADUATE_PROGRAMS
2,Which bachelor's degrees are available?,"Undergrad degrees at Arya College of Engineering include: B.Tech in Computer Science & Engineering; Electronics & Communication Engineering; Electrical Engineering; Mechanical Engineering; Civil Engineering; Information Technology; and a B.Tech + Integrated MBA dual degree. Availability can vary yearly. I can connect you with Admissions for exact programs, eligibility, and intake.",UNDERGRADUATE_PROGRAMS
3,Can you list all the undergraduate courses?,"Undergraduate programs at Arya College of Engineering:

- B.Tech in Computer Science & Engineering
- B.Tech in Electronics & Communication Engineering
- B.Tech in Electrical Engineering
- B.Tech in Mechanical Engineering
- B.Tech in Civil Engineering
- B.Tech in Information Technology
- B.Tech + Integrated MBA (dual degree)
",UNDERGRADUATE_PROGRAMS
4,What majors can I choose from?,"Undergrad majors at Arya College of Engineering include:
- B.Tech in Computer Science & Engineering
- B.Tech in Electronics & Communication Engineering
- B.Tech in Electrical Engineering
- B.Tech in Mechanical Engineering
- B.Tech in Civil Engineering
- B.Tech in Information Technology
- B.Tech + Integrated MBA (dual degree)

Availability varies by year.",UNDERGRADUATE_PROGRAMS
5,Tell me about your undergraduate programs,"Undergraduate programs (B.Tech) at Arya College:
- Computer Science & Engineering
- Electronics & Communication Engineering
- Electrical Engineering
- Mechanical Engineering
- Civil Engineering
- Information Technology
- B.Tech + Integrated MBA dual degree

Notes: AICTE-approved, RTU-affiliated, 4-year duration. Availability varies yearly. For exact programs, eligibility, and intake, I can connect you with Admissions staff.",UNDERGRADUATE_PROGRAMS
6,What bachelor's programs do you have?,"Bachelor’s programs at Arya College of Engineering:
- B.Tech in Computer Science & Engineering
- B.Tech in Electronics & Communication Engineering
- B.Tech in Electrical Engineering
- B.Tech in Mechanical Engineering
- B.Tech in Civil Engineering
- B.Tech in Information Technology
- B.Tech + Integrated MBA (dual degree)

All are AICTE-approved, RTU-affiliated, 4-year programs. Availability varies yearly.",UNDERGRADUATE_PROGRAMS
7,Which undergraduate degrees do you provide?,"Undergraduate degrees we provide:
- B.Tech in Computer Science & Engineering
- B.Tech in Electronics & Communication Engineering
- B.Tech in Electrical Engineering
- B.Tech in Mechanical Engineering
- B.Tech in Civil Engineering
- B.Tech in Information Technology
- B.Tech + Integrated MBA (dual degree)

All are AICTE-approved, RTU-affiliated, 4-year programs. Availability varies yearly.  ",UNDERGRADUATE_PROGRAMS
8,I want to know about undergrad programs,"Undergraduate programs (B.Tech, 4 years) at Arya College:
- Computer Science & Engineering
- Electronics & Communication Engineering
- Electrical Engineering
- Mechanical Engineering
- Civil Engineering
- Information Technology
- B.Tech + Integrated MBA

",UNDERGRADUATE_PROGRAMS
9,What are the available undergraduate majors?,"Available undergraduate majors (B.Tech) at Arya College of Engineering:
- B.Tech Computer Science & Engineering
- B.Tech Electronics & Communication Engineering
- B.Tech Electrical Engineering
- B.Tech Mechanical Engineering
- B.Tech Civil Engineering
- B.Tech Information Technology
- B.Tech + Integrated MBA (dual degree)

Notes: AICTE-approved, RTU-affiliated, 4-year programs. Availability varies yearly.",UNDERGRADUATE_PROGRAMS
10,Can you show me undergraduate course options?,"Available undergraduate options (B.Tech):
- Computer Science & Engineering
- Electronics & Communication Engineering
- Electrical Engineering
- Mechanical Engineering
- Civil Engineering
- Information Technology
- B.Tech + Integrated MBA (dual degree)

All AICTE-approved, RTU-affiliated, 4-year programs. Availability varies yearly. Want details on a specific branch or connect with Admissions for eligibility and seats?",UNDERGRADUATE_PROGRAMS
